match_id,match_number,date,start_time,player_id_of_the_match,toss_winner,toss_selection,venue_id,venue_name,Team1,Team2,Score1,Score2,winner_team
700,Match 75,11/21/2018,21:00,219.0,31,Choice of court :Left,11,"The Arena by Transstadia, Ahmedabad",Gujarat Fortunegiants,U Mumba,39,35,Gujarat Fortunegiants
701,Match 76,11/22/2018,20:00,757.0,28,Choice of court :Right,11,"The Arena by Transstadia, Ahmedabad",Haryana Steelers,Gujarat Fortunegiants,40,31,Haryana Steelers
702,Match 77,11/23/2018,20:00,143.0,4,Choice of court :Left,7,"Shree Shiv Chhatrapati Sports Complex, Pune",Bengal Warriors,Bengaluru Bulls,31,33,Bengaluru Bulls
704,Match 79,11/24/2018,20:00,2026.0,2,Choice of court :Left,7,"Shree Shiv Chhatrapati Sports Complex, Pune",Dabang Delhi K.C.,U Mumba,39,23,Dabang Delhi K.C.
705,Match 80,11/24/2018,21:00,326.0,29,Choice of court :Left,7,"Shree Shiv Chhatrapati Sports Complex, Pune",Tamil Thalaivas,Bengaluru Bulls,36,22,Tamil Thalaivas
706,Match 82,11/25/2018,21:00,326.0,1,Choice of court :Right,7,"Shree Shiv Chhatrapati Sports Complex, Pune",Bengaluru Bulls,Patna Pirates,32,35,Patna Pirates
707,Match 81,11/25/2018,20:00,366.0,28,Choice of court :Left,7,"Shree Shiv Chhatrapati Sports Complex, Pune",Haryana Steelers,Dabang Delhi K.C.,27,34,Dabang Delhi K.C.
708,Match 83,11/26/2018,20:00,26.0,8,Choice of court :Left,7,"Shree Shiv Chhatrapati Sports Complex, Pune",Telugu Titans,Tamil Thalaivas,31,25,Telugu Titans
709,Match 85,11/28/2018,20:00,388.0,28,Choice of court :Right,7,"Shree Shiv Chhatrapati Sports Complex, Pune",Haryana Steelers,Puneri Paltan,33,35,Puneri Paltan
71,Match 10,7/23/2015,20:00,12.0,8,Choice of court :Left,4,"Netaji Subhash Chandra Bose Indoor Stadium, Kolkata",Telugu Titans,Bengal Warriors,30,32,Bengal Warriors
710,Match 86,11/28/2018,21:00,326.0,8,Choice of court :Left,7,"Shree Shiv Chhatrapati Sports Complex, Pune",Telugu Titans,Bengaluru Bulls,34,26,Telugu Titans
711,Match 87,11/29/2018,20:00,757.0,7,Choice of court :Right,7,"Shree Shiv Chhatrapati Sports Complex, Pune",Puneri Paltan,Gujarat Fortunegiants,20,35,Gujarat Fortunegiants
712,Match 88,11/29/2018,21:00,143.0,1,Choice of court :Right,7,"Shree Shiv Chhatrapati Sports Complex, Pune",Bengaluru Bulls,Bengal Warriors,37,44,Bengal Warriors
713,Match 89,11/30/2018,20:00,41.0,2,Choice of court :Right,2,"Thyagaraj Sports Complex, Delhi",Dabang Delhi K.C.,Jaipur Pink Panthers,48,35,Dabang Delhi K.C.
